electricity_consumption,fuel_consumption,transportation_distance,production_level,month,total_emission
14796.37,557.88,1005.35,7012.8,7,17.929
14399.59,970.08,4539.05,9404.27,4,25.7131
10075.01,731.75,1219.12,3380.35,11,14.9468
3624.82,623.95,1455.54,8008.01,8,14.6869
10319.81,600.5,1675.32,6054.59,5,16.2636
12556.82,915.67,5087.94,2700.49,7,18.787
12007.25,700.71,3342.72,6617.65,10,18.8801
15023.74,745.11,3861.95,10131.07,3,22.1592
19734.17,769.02,3015.78,3623.03,7,21.4942
13655.5,679.25,2137.92,5947.14,11,18.555
14271.07,764.37,3494.42,3930.73,11,18.175
12592.73,623.97,1087.72,5122.26,8,16.0684
16689.74,639.04,1595.19,9493.99,5,21.2853
14125.6,403.79,3606.27,5575.49,4,15.8247
14996.42,715.51,1307.02,9423.6,8,21.9721
19235.83,271.7,2592.01,8750.82,8,17.9263
12907.94,712.38,2642.14,5365.7,3,18.6864
10916.15,588.26,2218.47,5044.02,6,15.1363
13785.16,732.41,653.77,4139.2,5,16.9787
16544.97,419.26,2108.18,4058.97,2,16.0476
14005.71,183.74,1892.53,7012.38,8,13.6517
16242.55,572.81,2977.58,6154.49,12,19.0491
9324.1,419.9,2921.54,4765.71,6,12.5097
8527.66,258.28,3215.76,2637.85,2,8.8179
9819.85,818.96,2056.42,6444.21,12,18.3982
6930.47,1002.27,3375.06,5120.03,5,18.6249
12441.2,474.67,1088.39,5750.82,1,15.3815
10279.9,633.33,795.9,6900.72,12,16.3315
16920.85,582.29,230.87,500.0,10,13.5366
6835.1,505.04,2250.77,2673.47,6,11.2377
18219.69,796.02,1971.37,11481.82,12,24.8516
8075.2,872.23,3668.25,5034.8,9,16.9146
7047.08,458.91,2086.47,500.0,1,9.1162
8701.39,659.85,3100.71,2865.14,11,13.0708
19805.12,932.6,3694.63,11914.27,11,28.6531
11839.66,801.59,2045.05,4583.11,10,17.1628
14117.74,834.29,3127.86,8865.74,12,21.512
11264.43,950.96,3902.12,6478.57,12,20.9829
11639.69,948.07,1438.02,5084.58,3,19.9637
9976.48,876.3,2827.34,7983.52,12,20.7839
12202.98,681.89,2049.76,715.98,7,14.0108
13978.4,565.85,1508.06,2885.39,4,14.4608
18713.22,672.77,1109.9,5067.59,9,19.6802
4502.12,532.43,1490.29,3111.32,3,11.1438
18443.28,220.45,2866.03,4864.21,5,14.0015
14111.84,588.51,1028.07,8163.54,3,18.8472
10528.95,728.66,2194.2,6503.91,7,17.8437
9809.11,520.8,3694.51,9260.42,5,17.8184
16174.7,607.59,3293.91,6649.36,9,19.0707
12915.91,616.11,2216.44,8482.66,7,19.0746
5863.74,948.51,4658.66,6052.64,2,19.1172
13452.28,570.92,4882.34,4842.37,4,16.425
16577.49,948.46,2828.73,9605.31,9,25.6099
15431.46,80.0,200.0,4568.49,12,11.173
9492.57,946.53,3775.09,6990.84,2,21.5462
6631.97,935.43,276.63,7968.46,10,18.2265
10696.11,848.5,4423.76,8135.43,9,20.8686
25000.0,207.38,3991.94,3519.48,10,15.2628
5820.0,874.16,4751.63,8619.49,5,18.7827
8629.06,638.97,3086.29,3948.4,2,14.6341
13568.17,93.55,2402.48,8064.62,4,13.0799
11501.9,935.6,2304.89,7430.9,12,21.5074
11199.18,967.72,2199.11,8082.85,12,22.2796
20098.88,231.01,3879.18,3428.49,7,14.9816
8586.96,688.59,3583.5,7552.24,12,17.7006
11942.88,955.49,2932.25,8696.87,8,24.1515
12807.63,920.64,2005.6,6644.81,3,21.4598
8781.05,833.93,5692.13,4317.18,1,18.468
6237.39,80.0,3803.61,8315.42,4,9.4638
13077.27,810.5,1042.52,6462.02,2,20.3776
19254.67,602.02,2232.12,2348.78,8,17.036
13618.33,869.09,3824.95,4138.76,4,18.8089
12360.29,706.36,1920.51,4989.52,2,17.5936
12330.92,645.63,3186.7,9663.38,6,20.2011
10966.33,791.0,3845.88,9259.42,6,21.5512
16733.93,612.18,200.0,9252.03,10,21.0788
9978.23,644.66,2681.16,6734.43,4,16.523
6572.86,527.85,2724.33,8301.27,6,15.9389
5673.38,296.81,2346.72,3576.21,2,8.9652
12316.04,774.93,3131.86,6215.65,10,19.7075
16242.77,472.67,3523.27,7238.76,12,18.0774
12949.94,605.83,2956.26,3727.73,2,15.6036
10730.52,713.13,2388.79,6682.8,10,17.9072
13833.77,191.25,3495.88,10079.27,4,16.2316
12744.85,240.5,2853.96,7485.17,8,13.7626
15304.76,584.06,2546.23,8310.35,7,19.4649
17306.02,750.0,1356.49,559.46,12,15.9677
8182.44,813.69,1081.08,9783.33,9,19.7504
3000.0,299.91,1335.65,5771.92,8,9.3879
10593.85,790.06,3106.16,4432.02,5,17.4776
7922.63,596.08,2713.01,5798.33,2,15.4832
15327.83,455.71,1171.69,2784.45,5,13.9873
9102.66,507.32,3510.51,8610.27,8,15.9098
4496.89,826.41,4311.74,5428.59,10,16.3683
